system,target,model,cv_r2,cv_rmse,cv_mae,test_r2,test_rmse,test_mae,test_mape_percent,is_best_for_target
AERO,length,SVR_linear_C10_eps0.1,0.043039114079669205,13.162983693942813,9.978377041828066,0.11176464805432296,12.35164125355191,8.633010976505231,23.974014678426695,False
AERO,length,RandomForest_200,0.9956601083077433,0.8696771887576603,0.6696768180140243,0.997973064130022,0.5900389023191529,0.42703124999999287,1.091889659838279,False
AERO,length,ExtraTrees_250,0.8400224994628932,5.367695430013515,3.8969029900332153,0.9115123847366073,3.898539041423092,2.789806250000007,7.151213088496163,False
AERO,length,GradientBoosting_200,0.9957915045225739,0.8267101003661376,0.6267293498709136,0.9984187612850723,0.5211459436299927,0.3683729354308931,0.9082282394236738,True
AERO,weight,MLR_LinearRegression,0.6529075009838142,6.679977938721046,5.0407745516093465,0.6714508924776164,7.172419621458175,5.528789427332111,35.5486767583749,False
AERO,weight,Ridge_a0.1,0.674734697970384,6.473885434225721,4.918644304416049,0.6941135911129863,6.920630055602737,5.2619353961428015,32.485972656428196,False
AERO,weight,Ridge_a1.0,0.6902911386032615,6.314900880033963,4.787193545825936,0.6968798208947147,6.889266237704112,5.2116114208221855,31.94793451912426,False
AERO,weight,Ridge_a10.0,0.7000785017274102,6.212731597203672,4.683780493871762,0.7023204036889249,6.827159954266858,5.056964577330324,30.53089304749314,False
AERO,weight,SVR_rbf_C10_eps0.1,0.7533687817142519,5.587266771421203,3.519916208300001,0.7960347845448325,5.651238006064791,3.37890541936362,16.263394366984677,False
AERO,weight,SVR_linear_C10_eps0.1,0.6260393813127231,6.927646357248176,4.896554659334057,0.6420848345444801,7.486099486120263,5.161280632828285,33.35049217564786,False
AERO,weight,RandomForest_200,0.9392856542430635,2.7842025110588686,2.0115900701365814,0.9807459285500449,1.7363082693605996,1.330625,8.794471031973835,False
AERO,weight,ExtraTrees_250,0.9546903209458679,2.4076633680064004,1.8426563307493542,0.9824657722782157,1.656947947281386,1.2518749999999996,7.7707658044935926,False
AERO,weight,GradientBoosting_200,0.964099339986061,2.1317380819923666,1.6921667278418375,0.9878343724829165,1.3801706945422858,1.0591961862581374,7.032440225146688,True
AERO,leaves,MLR_LinearRegression,0.8619737309434883,59.459308651234494,49.553431172387434,0.8878563294052664,55.38666897493949,47.296296330829065,30.158343260783525,False
AERO,leaves,Ridge_a0.1,0.8695620727055343,57.76650418771727,48.50498863313252,0.89669560083108,53.15905739138777,45.20936433681294,28.299063369736103,False
AERO,leaves,Ridge_a1.0,0.8690323626440088,57.97450882345075,49.442269754282144,0.8934755238460509,53.981204019654086,45.625008024850075,27.22960178654218,False
AERO,leaves,Ridge_a10.0,0.8566265505022989,60.83974661732583,51.59177066711735,0.8774894156891713,57.89014922170437,48.36051687500405,28.18148996721044,False
AERO,leaves,SVR_rbf_C10_eps0.1,0.6109497031875192,100.0811056302348,65.2502755339891,0.6930805586147046,91.62839154230348,57.07603539738306,23.645966651508967,False
AERO,leaves,SVR_linear_C10_eps0.1,0.8141398360539074,68.95810011150934,54.007599394505725,0.8689787702979632,59.86716587305901,48.253873794657196,25.71167446390169,False
AERO,leaves,RandomForest_200,0.9667284133107351,29.136782764484362,23.315678294573644,0.9859555704351819,19.600624810672493,15.402343750000004,10.050843914879245,False
AERO,leaves,ExtraTrees_250,0.9631066141022541,30.792256235358167,23.771888519748984,0.9768801799766496,25.148384277126038,19.307312500000002,14.239975809596379,False
AERO,leaves,GradientBoosting_200,0.9841302122331704,19.875141540699993,15.293376346926385,0.9883505732730299,17.85131199736024,13.834584375385194,8.470042844590864,True
AERO,branches,MLR_LinearRegression,0.8471514843455425,5.631019266400496,4.657762107078812,0.8788321253814941,5.449355667758891,4.608054618089343,21.012329635459174,False
AERO,branches,Ridge_a0.1,0.8560055627848837,5.4566531156337215,4.481907453915316,0.8812208172597311,5.395374259467253,4.527255174200343,20.268932972363974,False
AERO,branches,Ridge_a1.0,0.8612343514279068,5.357108919670469,4.432291488587105,0.8794742260628615,5.434897698185005,4.548434527394887,20.100659320851356,False
AERO,branches,Ridge_a10.0,0.8617073965578839,5.355429551459544,4.421732419482624,0.8758920457275174,5.515072395854082,4.56249024168417,19.353900320906195,False
AERO,branches,SVR_rbf_C10_eps0.1,0.8093390701909646,6.267010274779021,4.579084087455068,0.8804047773031198,5.413876258772374,3.942617902683822,15.19346609817836,False
AERO,branches,SVR_linear_C10_eps0.1,0.8416312713018371,5.7131636965505805,4.4842201340501475,0.8669982275177658,5.709263975074118,4.661978997622696,19.661393972529023,False
AERO,branches,RandomForest_200,0.9113176089815928,4.280951521200265,3.1130029531192327,0.9507585956271741,3.4738944959152116,2.76375,11.853282866422083,False
AERO,branches,ExtraTrees_250,0.9312564079901043,3.7693099105381833,2.616076781100037,0.9646751877717077,2.9423297316922183,2.3224375,10.36437069259179,True
AERO,branches,GradientBoosting_200,0.9350261547646769,3.6201108362676524,2.5974957381003936,0.9530574424743058,3.3918355117488295,2.691389018695625,11.057261212115199,False
