target,model,target_mode,params,cv_r2,cv_rmse,cv_mae
height,GradientBoosting,log1p,"{'subsample': 0.85, 'n_estimators': 400, 'min_samples_leaf': 2, 'max_depth': 4, 'learning_rate': 0.02}",0.9524560503181076,1.1271705425940761,0.8649129960875719
height,GradientBoosting,raw,"{'subsample': 0.7, 'n_estimators': 200, 'min_samples_leaf': 2, 'max_depth': 2, 'learning_rate': 0.1}",0.8475484921821911,2.0860736798275576,1.6880724479583726
height,GradientBoosting,log1p,"{'subsample': 0.7, 'n_estimators': 200, 'min_samples_leaf': 2, 'max_depth': 2, 'learning_rate': 0.1}",0.8552204740863518,2.0427161431950536,1.6391053189180045
height,GradientBoosting,raw,"{'subsample': 0.85, 'n_estimators': 700, 'min_samples_leaf': 1, 'max_depth': 2, 'learning_rate': 0.08}",0.8866237633088989,1.7944677877382778,1.4451760963068576
height,GradientBoosting,log1p,"{'subsample': 0.85, 'n_estimators': 700, 'min_samples_leaf': 1, 'max_depth': 2, 'learning_rate': 0.08}",0.8999839391519153,1.679856484016144,1.3656367671258458
height,GradientBoosting,raw,"{'subsample': 0.85, 'n_estimators': 700, 'min_samples_leaf': 2, 'max_depth': 4, 'learning_rate': 0.1}",0.954764798417895,1.0934909707219789,0.8455214739752135
height,GradientBoosting,log1p,"{'subsample': 0.85, 'n_estimators': 700, 'min_samples_leaf': 2, 'max_depth': 4, 'learning_rate': 0.1}",0.9528667693566325,1.1150144604534897,0.8752438010377567
height,GradientBoosting,raw,"{'subsample': 0.85, 'n_estimators': 400, 'min_samples_leaf': 4, 'max_depth': 3, 'learning_rate': 0.02}",0.9306890467732298,1.3904005526850916,1.1075400859013116
height,GradientBoosting,log1p,"{'subsample': 0.85, 'n_estimators': 400, 'min_samples_leaf': 4, 'max_depth': 3, 'learning_rate': 0.02}",0.9309589888665556,1.3900754708377967,1.1076140557462597
height,GradientBoosting,raw,"{'subsample': 1.0, 'n_estimators': 400, 'min_samples_leaf': 1, 'max_depth': 2, 'learning_rate': 0.08}",0.898569707618447,1.6725637137597027,1.2543454775226057
height,GradientBoosting,log1p,"{'subsample': 1.0, 'n_estimators': 400, 'min_samples_leaf': 1, 'max_depth': 2, 'learning_rate': 0.08}",0.8771669533096367,1.7894472755830502,1.3136412196783738
height,GradientBoosting,raw,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_leaf': 1, 'max_depth': 4, 'learning_rate': 0.1}",0.9593884501305746,1.0213425717666773,0.7719517573492134
